     12 , 17054 
      0 ,     0 
     10 , 15750 
      2 ,  1784 
      0 ,     0 
     21 , 30762 
      0 ,     0 
      0 ,     0 
     22 , 34002 
     23 , 33409 
     10 , 15750 
     48 , 67435 
      6 ,  6028 
     12 , 17448 
      1 ,   137 
      1 ,   177 
     15 , 20781 
      1 ,  1139 
     14 , 18977 
      0 ,     0 
      0 ,     0 
     14 , 19248 
      0 ,     0 
      1 ,   145 
     13 , 17733 
      0 ,     0 
     15 , 18287 
     31 , 40137 
      1 ,   336 
      9 , 14074 
      1 ,   140 
      1 ,  1575 
      6 ,  9036 
      0 ,     0 
      1 ,  1575 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      4 ,  6300 
      6 ,  8476 
      6 ,  9346 
      6 ,  7360 
      4 ,  6300 
     10 , 10615 
      5 ,  7319 
      5 ,  6475 
      6 ,  8780 
      2 ,  1731 
      0 ,     0 
      5 ,  7093 
      2 ,   277 
      1 ,  1139 
      5 ,  7168 
      0 ,     0 
      5 ,  7296 
      1 ,   803 
      0 ,     0 
      6 ,  6534 
      0 ,     0 
      1 ,   137 
      6 ,  8148 
      1 ,  1139 
      0 ,     0 
     12 , 16572 
      0 ,     0 
      0 ,     0 
      7 ,  9974 
      0 ,     0 
     10 , 12854 
      1 ,  1139 
      7 ,  9756 
      1 ,   652 
      0 ,     0 
      9 , 10875 
      0 ,     0 
      2 ,  1712 
      6 ,  7170 
      0 ,     0 
      4 ,  6276 
      2 ,  1800 
      0 ,     0 
      7 ,  8415 
      0 ,     0 
      0 ,     0 
      6 ,  8069 
      0 ,     0 
      9 , 14175 
     16 , 20046 
      0 ,     0 
     25 , 38961 
     25 , 36894 
      2 ,  1276 
     14 , 20110 
      0 ,     0 
     11 , 15989 
      2 ,  1850 
      0 ,     0 
     18 , 27954 
      6 ,  9054 
      0 ,     0 
     12 , 17892 
      2 ,  1284 
      9 , 12745 
      9 , 11885 
      0 ,     0 
     20 , 31000 
     23 , 33183 
      1 ,   140 
     26 , 37429 
      1 ,  1139 
      9 , 14175 
      3 ,  3065 
      0 ,     0 
      8 , 12478 
     12 , 18534 
      0 ,     0 
     19 , 29365 
      1 ,  1139 
      2 ,  3150 
      2 ,  1851 
      0 ,     0 
     11 , 16395 
      1 ,   336 
      1 ,   143 
     13 , 18428 
      2 ,  1276 
      6 ,  9450 
     14 , 20212 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      4 ,  6114 
      5 ,  7875 
      5 ,  6100 
      5 ,  7875 
      4 ,  4582 
      7 ,  9547 
      4 ,  3570 
      6 ,  9442 
      0 ,     0 
      5 ,  7875 
      2 ,  2032 
      0 ,     0 
     10 , 14646 
      0 ,     0 
      1 ,  1139 
     10 , 14911 
      0 ,     0 
      8 , 12600 
      6 ,  7093 
      0 ,     0 
     12 , 17689 
      0 ,     0 
      2 ,   420 
     29 , 41604 
      0 ,     0 
     10 , 14626 
      6 ,  7202 
      0 ,     0 
     11 , 15421 
      0 ,     0 
      0 ,     0 
     33 , 44715 
      1 ,  1139 
      8 , 12213 
      7 ,  8405 
      0 ,     0 
     19 , 27560 
      1 ,  1575 
      2 ,   473 
     23 , 33654 
      2 ,  1316 
      9 , 13741 
     33 , 47537 
      0 ,     0 
     18 , 28158 
      7 , 10737 
      0 ,     0 
     27 , 36810 
      1 ,   145 
     25 , 16495 
     37 , 43975 
     16 , 15190 
      9 ,  8455 
      0 ,     0 
     14 , 11915 
     14 , 12650 
      5 ,  5848 
      7 ,  9595 
      6 ,  8627 
      5 ,  7439 
      7 ,  8937 
      4 ,  6300 
      7 ,  9109 
      6 ,  9450 
      9 , 12938 
      9 , 12819 
      5 ,  7528 
      1 ,   729 
      2 ,  3150 
      8 , 12253 
      1 ,  1139 
     12 , 15437 
      0 ,     0 
      7 ,  9625 
     12 , 17943 
      1 ,   624 
     16 , 21032 
      0 ,     0 
      0 ,     0 
     29 , 39033 
      3 ,  2418 
      6 ,  9450 
     10 , 14323 
      1 ,   831 
     16 , 24974 
      0 ,     0 
      0 ,     0 
     26 , 38700 
      4 ,  2698 
      6 ,  8022 
      4 ,  6186 
      3 ,  1974 
     18 , 27913 
      0 ,     0 
      0 ,     0 
     18 , 26538 
      0 ,     0 
      7 , 11025 
     35 , 51097 
      2 ,  1334 
      4 ,  6300 
      0 ,     0 
      8 , 11584 
      0 ,     0 
      1 ,   336 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      0 ,     0 
      5 ,  4293 
      6 ,  8256 
      7 , 10009 
      3 ,  4725 
      7 ,  9078 
      6 ,  8793 
     12 , 15305 
      7 , 10246 
      6 ,  9450 
      1 ,  1139 
      8 , 11194 
      2 ,   420 
      8 , 11202 
      5 ,  7452 
      1 ,   731 
     14 , 19167 
      8 , 10678 
      0 ,     0 
      5 ,  7831 
      1 ,  1139 
      8 , 10928 
      5 ,  7391 
      3 ,  1271 
     10 , 14648 
      0 ,     0 
      0 ,     0 
      9 , 13899 
      2 ,  1279 
      7 ,  9737 
      5 ,  7679 
      1 ,   653 
      7 ,  9611 
      0 ,     0 
      0 ,     0 
      5 ,  7095 
      1 ,  1139 
      7 , 10957 
      5 ,  7671 
      1 ,   578 
     12 , 17752 
      1 ,  1001 
      0 ,     0 
      6 ,  8588 
      1 ,   143 
      5 ,  5183 
     43 , 62174 
      3 ,  3072 
      0 ,     0 
     29 , 40619 
      0 ,     0 
     33 , 42538 
      9 ,  6330 
      1 ,  1575 
     14 , 21550 
      1 ,   832 
     15 , 23289 
      9 , 13951 
      1 ,  1139 
     20 , 31371 
      1 ,   198 
      3 ,  4725 
     36 , 51725 
      1 ,   673 
     11 , 17325 
      8 , 11373 
      1 ,  1139 
      9 , 13803 
      0 ,     0 
      4 ,  6300 
      5 ,  6661 
      1 ,   546 
      9 , 14103 
      0 ,     0 
      0 ,     0 
     10 , 14778 
      1 ,  1139 
      3 ,  3287 
     15 , 20821 
      1 ,   767 
     13 , 20076 
     31 , 45633 
      0 ,     0 
     11 , 16775 
      0 ,     0 
      2 ,  3150 
     25 , 36035 
      1 ,  1139 
     14 , 20822 
      3 ,  2819 
      0 ,     0 
     10 , 15718 
      0 ,     0 
      0 ,     0 
